QSPRID,SMILES,Molecule Name,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro),QSPRID,pIC50 (MERS-CoV Mpro)_original,Split_IsTrain,predicted MERS
MultiTaskTutorialDataset_000,C=CC(=O)Nc1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1,ASAP-0000175,Test,5.52,5.57,MultiTaskTutorialDataset_000,5.52,True,5.187257866161699
MultiTaskTutorialDataset_001,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(F)ccc2C1=O,ASAP-0000272,Test,6.47,,MultiTaskTutorialDataset_001,6.47,True,5.192679023924694
MultiTaskTutorialDataset_002,CNC(=O)CN1C[C@]2(CCN(c3cncc4ccc(OC[C@H](O)CN(C)C)cc34)C2=O)c2cc(Cl)ccc2C1=O,ASAP-0000528,Test,5.8,7.44,MultiTaskTutorialDataset_002,5.8,True,5.040311708184749
MultiTaskTutorialDataset_003,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2ccccc2C1=O,ASAP-0000541,Test,5.81,6.48,MultiTaskTutorialDataset_003,5.81,True,5.020458557298949
MultiTaskTutorialDataset_004,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2C)c2cc(Cl)ccc2C1=O,ASAP-0000733,Test,6.69,7.87,MultiTaskTutorialDataset_004,6.69,True,5.354353971641055
MultiTaskTutorialDataset_005,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2CC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0000738,Test,5.98,7.6,MultiTaskTutorialDataset_005,5.98,True,5.35459164922259
MultiTaskTutorialDataset_006,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCc1ccnn1C)C(=O)c1ccc(Cl)cc12,ASAP-0000774,Test,5.88,7.42,MultiTaskTutorialDataset_006,5.88,True,5.5262067107115085
MultiTaskTutorialDataset_007,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NCc1ccn(C)n1)C(=O)c1ccc(Cl)cc12,ASAP-0000775,Test,6.02,6.91,MultiTaskTutorialDataset_007,6.02,True,5.5355257265321525
MultiTaskTutorialDataset_008,CO[C@@H](C)CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,ASAP-0010712,Test,5.65,7.18,MultiTaskTutorialDataset_008,5.65,True,4.989037755849356
MultiTaskTutorialDataset_009,CN[C@H](C)CN1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,ASAP-0010740,Test,5.49,6.88,MultiTaskTutorialDataset_009,5.49,True,5.00370454863313
